,SecuCode,FirstIndustryCode
911,002117,25
912,002191,25
913,002228,25
914,002229,25
915,002235,25
916,002243,25
917,002301,25
918,002303,25
919,002348,25
920,002374,25
921,002489,25
922,002511,25
923,002521,25
924,002565,25
925,002571,25
926,002572,25
927,002575,25
928,002605,25
929,002678,25
930,002701,25
931,002735,25
932,002751,25
933,002752,25
934,002799,25
935,002803,25
936,002812,25
937,002825,25
938,002831,25
939,002836,25
940,002846,25
941,002853,25
942,002859,25
943,002862,25
944,002899,25
945,300043,25
946,300057,25
947,300061,25
948,300089,25
949,300329,25
950,300403,25
951,300501,25
952,300606,25
953,300616,25
954,300640,25
955,300651,25
956,300658,25
957,300701,25
958,300703,25
959,300729,25
960,600069,25
961,600076,25
962,600103,25
963,600210,25
964,600235,25
965,600308,25
966,600337,25
967,600356,25
968,600433,25
969,600567,25
970,600679,25
971,600793,25
972,600800,25
973,600836,25
974,600963,25
975,600966,25
976,601515,25
977,601968,25
978,603008,25
979,603021,25
980,603022,25
981,603058,25
982,603059,25
983,603180,25
984,603208,25
985,603226,25
986,603313,25
987,603326,25
988,603389,25
989,603398,25
990,603429,25
991,603499,25
992,603600,25
993,603607,25
994,603661,25
995,603709,25
996,603801,25
997,603816,25
998,603833,25
999,603848,25
1000,603898,25
1001,603899,25
1002,603976,25
1003,000008,26
1004,000017,26
1005,000039,26
1006,000157,26
1007,000410,26
1008,000425,26
1009,000528,26
1010,000530,26
1011,000570,26
1012,000595,26
1013,000680,26
1014,000777,26
1015,000811,26
1016,000816,26
1017,000821,26
1018,000837,26
1019,000852,26
1020,000856,26
1021,000880,26
1022,000890,26
1023,000923,26
1024,000925,26
1025,000976,26
1026,001696,26
1027,002006,26
1028,002009,26
1029,002011,26
1030,002021,26
1031,002023,26
1032,002026,26
1033,002046,26
1034,002058,26
1035,002073,26
1036,002097,26
1037,002101,26
1038,002105,26
1039,002122,26
1040,002132,26
1041,002150,26
1042,002158,26
1043,002164,26
1044,002176,26
1045,002184,26
1046,002196,26
1047,002204,26
1048,002207,26
1049,002209,26
1050,002248,26
1051,002249,26
1052,002255,26
1053,002270,26
1054,002272,26
1055,002278,26
1056,002282,26
1057,002337,26
1058,002342,26
1059,002347,26
1060,002353,26
1061,002366,26
1062,002367,26
1063,002384,26
1064,002406,26
1065,002426,26
1066,002430,26
1067,002435,26
1068,002438,26
1069,002444,26
1070,002459,26
1071,002472,26
1072,002480,26
1073,002483,26
1074,002490,26
1075,002509,26
1076,002514,26
1077,002523,26
1078,002526,26
1079,002529,26
1080,002532,26
1081,002534,26
1082,002535,26
1083,002552,26
1084,002554,26
1085,002559,26
1086,002564,26
1087,002595,26
1088,002598,26
1089,002608,26
1090,002611,26
1091,002621,26
1092,002629,26
1093,002633,26
1094,002639,26
1095,002645,26
1096,002651,26
1097,002685,26
1098,002686,26
1099,002689,26
1100,002690,26
1101,002691,26
1102,002698,26
1103,002722,26
1104,002743,26
1105,002747,26
1106,002757,26
1107,002760,26
1108,002767,26
1109,002774,26
1110,002779,26
1111,002786,26
1112,002787,26
1113,002793,26
1114,002795,26
1115,002796,26
1116,002801,26
1117,002816,26
1118,002819,26
1119,002823,26
1120,002833,26
1121,002837,26
1122,002843,26
1123,002849,26
1124,002850,26
1125,002857,26
1126,002870,26
1127,002871,26
1128,002877,26
1129,002884,26
1130,002890,26
1131,002896,26
1132,002903,26
1133,002931,26
1134,300004,26
1135,300008,26
1136,300011,26
1137,300022,26
1138,300024,26
1139,300029,26
1140,300035,26
1141,300066,26
1142,300084,26
1143,300092,26
1144,300095,26
1145,300097,26
1146,300099,26
1147,300103,26
1148,300105,26
1149,300112,26
1150,300116,26
1151,300123,26
1152,300124,26
1153,300126,26
1154,300145,26
1155,300151,26
1156,300154,26
1157,300159,26
1158,300161,26
1159,300164,26
1160,300165,26
1161,300171,26
1162,300173,26
1163,300193,26
1164,300195,26
1165,300210,26
1166,300216,26
1167,300228,26
1168,300257,26
1169,300259,26
1170,300260,26
1171,300263,26
1172,300276,26
1173,300278,26
1174,300281,26
1175,300293,26
1176,300306,26
1177,300307,26
1178,300308,26
1179,300309,26
1180,300316,26
1181,300349,26
1182,300351,26
1183,300354,26
1184,300368,26
1185,300370,26
1186,300371,26
1187,300382,26
1188,300391,26
1189,300400,26
1190,300402,26
1191,300410,26
1192,300411,26
1193,300415,26
1194,300416,26
1195,300417,26
1196,300420,26
1197,300421,26
1198,300424,26
1199,300430,26
1200,300434,26
1201,300435,26
1202,300441,26
1203,300442,26
1204,300445,26
1205,300450,26
1206,300456,26
1207,300457,26
1208,300461,26
1209,300464,26
1210,300466,26
1211,300470,26
1212,300471,26
1213,300472,26
1214,300480,26
1215,300486,26
1216,300488,26
1217,300489,26
1218,300499,26
1219,300503,26
1220,300509,26
1221,300512,26
1222,300514,26
1223,300521,26
1224,300540,26
1225,300549,26
1226,300551,26
1227,300553,26
1228,300554,26
1229,300557,26
1230,300567,26
1231,300572,26
1232,300589,26
1233,300600,26
1234,300607,26
1235,300619,26
1236,300629,26
1237,300648,26
1238,300669,26
1239,300700,26
1240,300718,26
1241,300720,26
1242,600031,26
1243,600072,26
1244,600114,26
1245,600145,26
1246,600150,26
1247,600165,26
1248,600169,26
1249,600243,26
1250,600262,26
1251,600302,26
1252,600320,26
1253,600421,26
1254,600458,26
1255,600481,26
1256,600495,26
1257,600520,26
1258,600558,26
1259,600560,26
1260,600582,26
1261,600592,26
1262,600666,26
1263,600710,26
1264,600761,26
1265,600806,26
1266,600815,26
1267,600835,26
1268,600843,26
1269,600860,26
1270,600894,26
1271,600967,26
1272,600984,26
1273,600992,26
1274,601002,26
1275,601038,26
1276,601100,26
1277,601106,26
1278,601177,26
1279,601268,26
1280,601299,26
1281,601369,26
1282,601608,26
1283,601717,26
1284,601766,26
1285,601798,26
1286,601882,26
1287,601890,26
1288,603011,26
1289,603012,26
1290,603015,26
1291,603029,26
1292,603036,26
1293,603076,26
1294,603085,26
1295,603088,26
1296,603090,26
1297,603100,26
1298,603111,26
1299,603131,26
1300,603159,26
1301,603169,26
1302,603203,26
1303,603269,26
1304,603277,26
1305,603278,26
1306,603283,26
1307,603289,26
1308,603298,26
1309,603308,26
1310,603315,26
1311,603318,26
1312,603319,26
1313,603321,26
1314,603331,26
1315,603337,26
1316,603338,26
1317,603339,26
1318,603356,26
1319,603416,26
1320,603488,26
1321,603500,26
1322,603507,26
1323,603556,26
1324,603617,26
1325,603626,26
1326,603638,26
1327,603656,26
1328,603667,26
1329,603690,26
1330,603698,26
1331,603699,26
1332,603726,26
1333,603757,26
1334,603789,26
1335,603819,26
1336,603855,26
1337,603856,26
1338,603901,26
1339,603912,26
1340,603960,26
1341,603966,26
1342,603985,26
1343,000400,27
1344,000551,27
1345,000585,27
1346,000682,27
1347,000806,27
1348,000862,27
1349,000922,27
1350,002028,27
1351,002074,27
1352,002112,27
1353,002121,27
1354,002129,27
1355,002168,27
1356,002169,27
1357,002202,27
1358,002212,27
1359,002218,27
1360,002227,27
1361,002266,27
1362,002276,27
1363,002298,27
1364,002300,27
1365,002322,27
1366,002323,27
1367,002334,27
1368,002339,27
1369,002350,27
1370,002356,27
1371,002358,27
1372,002364,27
1373,002441,27
1374,002451,27
1375,002452,27
1376,002471,27
1377,002487,27
1378,002498,27
1379,002506,27
1380,002531,27
1381,002533,27
1382,002560,27
1383,002576,27
1384,002580,27
1385,002606,27
1386,002610,27
1387,002617,27
1388,002622,27
1389,002665,27
1390,002692,27
1391,002706,27
1392,002729,27
1393,002730,27
1394,002851,27
1395,002879,27
1396,002882,27
1397,002885,27
1398,002892,27
1399,002927,27
1400,300001,27
1401,300018,27
1402,300040,27
1403,300048,27
1404,300062,27
1405,300068,27
1406,300069,27
1407,300080,27
1408,300091,27
1409,300111,27
1410,300118,27
1411,300120,27
1412,300125,27
1413,300129,27
1414,300140,27
1415,300141,27
1416,300152,27
1417,300153,27
1418,300185,27
1419,300208,27
1420,300215,27
1421,300222,27
1422,300265,27
1423,300274,27
1424,300283,27
1425,300286,27
1426,300341,27
1427,300372,27
1428,300376,27
1429,300393,27
1430,300407,27
1431,300423,27
1432,300427,27
1433,300443,27
1434,300444,27
1435,300477,27
1436,300484,27
1437,300490,27
1438,300510,27
1439,300617,27
1440,300626,27
1441,300670,27
1442,300693,27
1443,300713,27
1444,600089,27
1445,600112,27
1446,600151,27
1447,600163,27
1448,600192,27
1449,600202,27
1450,600268,27
1451,600290,27
1452,600312,27
1453,600379,27
1454,600406,27
1455,600416,27
1456,600468,27
1457,600475,27
1458,600517,27
1459,600537,27
1460,600550,27
1461,600577,27
1462,600580,27
1463,600847,27
1464,600869,27
1465,600875,27
1466,600885,27
1467,600973,27
1468,601012,27
1469,601126,27
1470,601179,27
1471,601218,27
1472,601222,27
1473,601558,27
1474,601567,27
1475,601616,27
1476,601700,27
1477,601727,27
1478,601877,27
1479,601908,27
1480,603016,27
1481,603050,27
1482,603063,27
1483,603218,27
1484,603320,27
1485,603333,27
1486,603396,27
1487,603577,27
1488,603606,27
1489,603618,27
1490,603628,27
1491,603728,27
1492,603806,27
1493,603829,27
1494,603861,27
1495,603988,27
1496,000519,28
1497,000547,28
1498,000561,28
1499,000738,28
1500,000768,28
1501,000901,28
1502,002013,28
1503,002025,28
1504,002111,28
1505,002151,28
1506,002179,28
1507,002190,28
1508,002214,28
1509,002338,28
1510,002414,28
1511,002465,28
1512,002519,28
1513,002520,28
1514,300034,28
1515,300045,28
1516,300065,28
1517,300101,28
1518,300114,28
1519,300252,28
1520,300397,28
1521,300447,28
1522,300474,28
1523,300527,28
1524,300581,28
1525,300696,28
1526,300719,28
1527,300722,28
1528,600038,28
1529,600118,28
1530,600184,28
1531,600316,28
1532,600343,28
1533,600372,28
1534,600391,28
1535,600399,28
1536,600435,28
1537,600501,28
1538,600562,28
1539,600677,28
1540,600685,28
1541,600760,28
1542,600765,28
1543,600855,28
1544,600862,28
1545,600879,28
1546,600893,28
1547,600990,28
1548,601989,28
1549,000025,30
1550,000030,30
1551,000338,30
1552,000550,30
1553,000559,30
1554,000572,30
1555,000581,30
1556,000589,30
1557,000599,30
1558,000622,30
1559,000625,30
1560,000678,30
1561,000700,30
1562,000710,30
1563,000753,30
1564,000757,30
1565,000760,30
1566,000800,30
1567,000868,30
1568,000887,30
1569,000903,30
1570,000913,30
1571,000927,30
1572,000951,30
1573,000957,30
1574,000980,30
1575,000996,30
1576,002031,30
1577,002048,30
1578,002085,30
1579,002126,30
1580,002213,30
1581,002239,30
1582,002265,30
1583,002283,30
1584,002284,30
1585,002328,30
1586,002355,30
1587,002363,30
1588,002434,30
1589,002448,30
1590,002454,30
1591,002488,30
1592,002510,30
1593,002516,30
1594,002536,30
1595,002537,30
1596,002553,30
1597,002590,30
1598,002592,30
1599,002593,30
1600,002594,30
1601,002607,30
1602,002625,30
1603,002662,30
1604,002664,30
1605,002682,30
1606,002684,30
1607,002703,30
1608,002708,30
1609,002715,30
1610,002725,30
1611,002765,30
1612,002863,30
1613,002865,30
1614,002920,30
1615,002921,30
1616,300100,30
1617,300176,30
1618,300201,30
1619,300237,30
1620,300258,30
1621,300304,30
1622,300375,30
1623,300432,30
1624,300473,30
1625,300507,30
1626,300580,30
1627,300585,30
1628,300611,30
1629,300643,30
1630,300644,30
1631,300652,30
1632,300680,30
1633,300681,30
1634,300695,30
1635,300707,30
1636,300733,30
1637,600006,30
1638,600066,30
1639,600081,30
1640,600093,30
1641,600099,30
1642,600104,30
1643,600148,30
1644,600166,30
1645,600178,30
1646,600182,30
1647,600213,30
1648,600218,30
1649,600297,30
1650,600303,30
1651,600327,30
1652,600335,30
1653,600375,30
1654,600418,30
1655,600469,30
1656,600480,30
1657,600523,30
1658,600579,30
1659,600609,30
1660,600623,30
1661,600653,30
